region,coffeeRegion,Country
Ethiopia and Kenya,Other,Set
"Gaterama Village, Gitega",Africa,Burundi
Kayanza Province,Africa,Burundi
"Gatara Commune, Kayanza Province",Africa,Burundi
"Gaterama Village, Gitega, Bugendana Commune",Africa,Burundi
Kabarore Commune,Africa,Burundi
"Kabarore Commune, Kayanza Province",Africa,Burundi
Mifi,Africa,Camaroon
"Katana Village, Kabare, South Kivu",Africa,Congo
"Kavisa, Kirumba",Africa,Congo
"Agaro Town, Jimma",Africa,Ethiopia
"Beshasha, Agaro",Africa,Ethiopia
"Benti Nenka, Hambela Wamena, Guji",Africa,Ethiopia
"Dambi Uddo, Shakiso, Guji Zone",Africa,Ethiopia
"Kebele Gerba, Guji Zone",Africa,Ethiopia
"Buliye Kebele, Shakiso, Guji",Africa,Ethiopia
"Chelchele, Yirga Cheffe",Africa,Ethiopia
"Banko Gotiti, Gedeb",Africa,Ethiopia
Gera,Africa,Ethiopia
"Dame Dabaye, Hambela Wamena, Guji",Africa,Ethiopia
"Reji Kebele, Odo Shakiso, Guji",Africa,Ethiopia
"Refisa, Nensebo",Africa,Ethiopia
"Goma, Agaro",Africa,Ethiopia
"Gera, Jimma",Africa,Ethiopia
"Raro Boda, Uraga, Guji",Africa,Ethiopia
"Danche, Chelbesa Village, Gedeb Woreda",Africa,Ethiopia
"Banko Chelchele, Gedeo, Yirga Cheffe",Africa,Ethiopia
"Goma, Oromia Region",Africa,Ethiopia
"Kiambu, Muranga",Africa,Kenya
"Kianyaga, Kirinyaga",Africa,Kenya
"Kianyaga, Gichugu, Kirinyaga",Africa,Kenya
Kirinyaga,Africa,Kenya
"Kagumoini, Muranga",Africa,Kenya
Muranga,Africa,Kenya
"Muranga, Central Province",Africa,Kenya
"Gaikundo, Nyeri",Africa,Kenya
Nyeri,Africa,Kenya
"Gatugi, Nyeri",Africa,Kenya
"Gichichi, Nyeri",Africa,Kenya
"Kagumo, Nyeri",Africa,Kenya
"Mukurwe-Ini, Nyeri District",Africa,Kenya
Nyeri County,Africa,Kenya
"Othaya, Nyeri",Africa,Kenya
"Thika, Kiambu",Africa,Kenya
Thika Plateau,Africa,Kenya
Nyamasheke,Africa,Rwanda
"Macuba, Nyamasheke, Western Province",Africa,Rwanda
"Ngoma, Nyamiyaga, Kamonyi",Africa,Rwanda
"Gatare, Nyamasheke",Africa,Rwanda
"Nyamasheke, Western Province",Africa,Rwanda
"Karambi Town, Nyamasheke District",Africa,Rwanda
Karongi,Africa,Rwanda
"Ngororero Town, Ngororero District",Africa,Rwanda
"Rubavu, Lake Kivu",Africa,Rwanda
"Tumba Town, Rulindo District, Northern Province",Africa,Rwanda
"Rusizi District, Western Province",Africa,Rwanda
Tarime Town,Africa,Tanzania
"Mbamba Bay, Mbinga",Africa,Tanzania
Mbinbga District,Africa,Tanzania
"Hawari, Al Qafr District",Middle East,Yemen
Bani Haraz,Middle East,Yemen
"Khulan Amer District, Sa'ada",Middle East,Yemen
"Bani Awam and Mabyan Districts, Hajjah Governorate",Middle East,Yemen
Bani Matari,Middle East,Yemen
Kasama,Africa,Zambia
"Mafinga, Kasama",Africa,Zambia
"Peru, Ethiopia",Africa,Ethiopia
"Ethiopia, Costa Rica, El Salvador",Africa,Ethiopia
"Pena Blanca, La Libertad District",South America,Peru
"Bojonalito, Huehuetenango",Central America,Guatemala
"Cuilco, Huehuetenango",Central America,Guatemala
"El Paraiso, La Libertad",Central America,Guatemala
"Pena Blanca, Huehuetenango",Central America,Guatemala
"La Palmira, La Libertad, Huehuetenango",Central America,Guatemala
"Michicoy, San Pedro Necta, Huehuetenango",Central America,Guatemala
"Pena Blanca, La Libertad, Huehuetenango",Central America,Guatemala
"San Pedro Necta, Huehuetenango",Central America,Guatemala
"Lomas del Cordero, Comayagua",Central America,Honduras
"San Marcos, Ocotepeque",Central America,Honduras
"La Paz, Comayagua",Central America,Honduras
Central America,Central America,
"San Marcos, Tarrazu",Central America,Costa Rica
"Llano Bonito, West Valley",Central America,Costa Rica
"La Piedra de Rivas, Chirripo",Central America,Costa Rica
"Los Santos, Santa Cruz",Central America,Costa Rica
"Palmichal, Los Santos, Tarrazu",Central America,Costa Rica
Central Valley,Central America,Costa Rica
"Los Santos, Asseri, Tarrazu",Central America,Costa Rica
"Dota, Tarrazu",Central America,Costa Rica
"Los Santos, San Marcos, Tarrazu",Central America,Costa Rica
"Zarcero, West Valley",Central America,Costa Rica
"Apaneca, Ahuachapan",Central America, El Salvador
"Comasagua, La Libertad",Central America, El Salvador
"Concepcion de Ataco, Ahuachapan",Central America, El Salvador
Cerro Verde,Central America, El Salvador
Santa Ana and Chalatenango Departments,Central America, El Salvador
Acatenango,Central America,Guatemala
Antigua,North America,Antigua
Hunapu,Central America,Guatemala
"Tecpan, Chimaltenango",Central America,Guatemala
"Baja Verapaz, Coban",Central America,Guatemala
Huehuetenango,Central America,Guatemala
"Patzun, Chimaltenango",Central America,Guatemala
"San Martin Jilotepeque, Chimaltenango",Central America,Guatemala
"Las Flores, Santa Barbara",Central America,Honduras
"El Suace, Santa Barbara",Central America,Honduras
"La Concordia, Chiapas",North America,Mexico
"Motozintla, Chiapas, Mexico",North America,Mexico
"Coatepec, Veracruz",North America,Mexico
"Motozintla, Chiapas",North America,Mexico
"Dipilto, Nueva Segovia",Central America,Nicaragua
Jinotega,Central America,Nicaragua
"Horqueta, Boquete",Central America,Panama
"Paso Ancho, Volcan Baru",Central America,Panama
